243,1964-08-22,1964,Hamburger SV,VfB Stuttgart,2-2,2,2,1,1,D
244,1964-08-22,1964,Borussia Dortmund,Hannover 96,0-2,0,2,1,1,A
245,1964-08-22,1964,Eintracht Braunschweig,TSV 1860 Munchen,1-1,1,1,1,1,D
246,1964-08-22,1964,Karlsruher SC,Meidericher SV,2-1,2,1,1,1,H
247,1964-08-22,1964,1. FC Nurnberg,Borussia Neunkirchen,2-0,2,0,1,1,H
248,1964-08-22,1964,1. FC Koln,Hertha BSC,2-3,2,3,1,1,A
249,1964-08-29,1964,VfB Stuttgart,1. FC Nurnberg,3-1,3,1,1,1,H
250,1964-08-29,1964,Hannover 96,1. FC Koln,2-0,2,0,1,1,H
251,1964-08-29,1964,Hertha BSC,Hamburger SV,0-0,0,0,1,1,D
252,1964-08-29,1964,FC Schalke 04,Karlsruher SC,1-1,1,1,1,1,D
253,1964-08-29,1964,Borussia Neunkirchen,Borussia Dortmund,1-2,1,2,1,1,A
254,1964-08-29,1964,Meidericher SV,1. FC Kaiserslautern,3-1,3,1,1,1,H
255,1964-08-29,1964,Werder Bremen,Eintracht Braunschweig,5-1,5,1,1,1,H
256,1964-08-29,1964,TSV 1860 Munchen,Frankfurter SG Eintracht,0-1,0,1,1,1,A
257,1964-09-05,1964,Hamburger SV,Hannover 96,3-0,3,0,1,1,H
258,1964-09-05,1964,1. FC Koln,Borussia Neunkirchen,4-3,4,3,1,1,H
259,1964-09-05,1964,1. FC Nurnberg,Hertha BSC,2-0,2,0,1,1,H
260,1964-09-05,1964,Karlsruher SC,TSV 1860 Munchen,1-5,1,5,1,1,A
261,1964-09-05,1964,Frankfurter SG Eintracht,Werder Bremen,0-2,0,2,1,1,A
262,1964-09-05,1964,1. FC Kaiserslautern,FC Schalke 04,3-0,3,0,1,1,H
263,1964-09-05,1964,Eintracht Braunschweig,Meidericher SV,0-1,0,1,1,1,A
264,1964-09-11,1964,Borussia Dortmund,VfB Stuttgart,1-0,1,0,1,1,H
265,1964-09-12,1964,VfB Stuttgart,1. FC Koln,3-3,3,3,1,1,D
266,1964-09-12,1964,Hannover 96,1. FC Nurnberg,2-2,2,2,1,1,D
267,1964-09-12,1964,Meidericher SV,Frankfurter SG Eintracht,1-3,1,3,1,1,A
268,1964-09-12,1964,TSV 1860 Munchen,1. FC Kaiserslautern,2-2,2,2,1,1,D
269,1964-09-12,1964,FC Schalke 04,Eintracht Braunschweig,0-3,0,3,1,1,A
270,1964-09-12,1964,Werder Bremen,Karlsruher SC,1-0,1,0,1,1,H
271,1964-09-12,1964,Borussia Neunkirchen,Hamburger SV,3-1,3,1,1,1,H
272,1964-09-12,1964,Hertha BSC,Borussia Dortmund,0-0,0,0,1,1,D
273,1964-09-19,1964,1. FC Nurnberg,FC Schalke 04,3-2,3,2,1,1,H
274,1964-09-19,1964,Hamburger SV,Meidericher SV,3-0,3,0,1,1,H
275,1964-09-19,1964,1. FC Koln,Werder Bremen,4-2,4,2,1,1,H
276,1964-09-19,1964,VfB Stuttgart,Hertha BSC,1-1,1,1,1,1,D
277,1964-09-19,1964,Borussia Dortmund,TSV 1860 Munchen,1-1,1,1,1,1,D
278,1964-09-19,1964,1. FC Kaiserslautern,Hannover 96,1-0,1,0,1,1,H
279,1964-09-19,1964,Eintracht Braunschweig,Borussia Neunkirchen,1-0,1,0,1,1,H
280,1964-09-19,1964,Frankfurter SG Eintracht,Karlsruher SC,0-7,0,7,1,1,A
281,1964-09-26,1964,Borussia Neunkirchen,1. FC Kaiserslautern,0-3,0,3,1,1,A
282,1964-09-26,1964,TSV 1860 Munchen,1. FC Nurnberg,2-0,2,0,1,1,H
283,1964-09-26,1964,Werder Bremen,Hamburger SV,0-0,0,0,1,1,D
284,1964-09-26,1964,Meidericher SV,1. FC Koln,0-3,0,3,1,1,A
285,1964-09-26,1964,FC Schalke 04,Borussia Dortmund,2-6,2,6,1,1,A
286,1964-09-26,1964,Karlsruher SC,VfB Stuttgart,0-0,0,0,1,1,D
287,1964-09-26,1964,Hertha BSC,Frankfurter SG Eintracht,1-3,1,3,1,1,A
288,1964-09-26,1964,Hannover 96,Eintracht Braunschweig,2-2,2,2,1,1,D
289,1964-10-10,1964,Hertha BSC,TSV 1860 Munchen,2-1,2,1,1,1,H
290,1964-10-10,1964,1. FC Koln,Eintracht Braunschweig,5-1,5,1,1,1,H
291,1964-10-10,1964,Borussia Dortmund,1. FC Kaiserslautern,3-2,3,2,1,1,H
292,1964-10-10,1964,1. FC Nurnberg,Karlsruher SC,4-1,4,1,1,1,H
293,1964-10-10,1964,Hannover 96,Werder Bremen,1-2,1,2,1,1,A
294,1964-10-10,1964,Hamburger SV,Frankfurter SG Eintracht,2-1,2,1,1,1,H
295,1964-10-10,1964,VfB Stuttgart,FC Schalke 04,2-1,2,1,1,1,H
296,1964-10-10,1964,Borussia Neunkirchen,Meidericher SV,4-2,4,2,1,1,H
297,1964-10-17,1964,TSV 1860 Munchen,Hannover 96,4-0,4,0,1,1,H
298,1964-10-17,1964,FC Schalke 04,Hertha BSC,3-0,3,0,1,1,H
299,1964-10-17,1964,1. FC Kaiserslautern,1. FC Nurnberg,3-2,3,2,1,1,H
300,1964-10-17,1964,Karlsruher SC,Hamburger SV,2-2,2,2,1,1,D
301,1964-10-17,1964,Meidericher SV,VfB Stuttgart,3-3,3,3,1,1,D
302,1964-10-17,1964,Eintracht Braunschweig,Borussia Dortmund,0-1,0,1,1,1,A
303,1964-10-17,1964,Werder Bremen,Borussia Neunkirchen,2-0,2,0,1,1,H
304,1964-10-17,1964,Frankfurter SG Eintracht,1. FC Koln,1-4,1,4,1,1,A
